aspect,positive,negative,count
story and plot,0.25279187817258886,0.31573604060913707,985
acting and performances,0.3910761154855643,0.26246719160104987,381
visual effects and CGI,0.6568047337278107,0.17514792899408285,845
music and soundtrack,0.5616942909760589,0.12154696132596685,543
science and physics,0.20176991150442478,0.2761061946902655,565
emotional impact,0.30522088353413657,0.4779116465863454,249
characters,0.15577889447236182,0.2562814070351759,199
ending,0.29034229828850855,0.3636919315403423,1636
clarity and complexity,0.18328840970350405,0.42048517520215634,371
directing and vision,0.415929203539823,0.22566371681415928,226
